excel_row;clasificacion;obra;descripcion;cantidad;tipo;estado_excel;proveedor;rubro;obs;addon_best_score;addon_best_desc;accion_addon
230;OPC;;"Racor 1/2"" bronce";1;opcional;;;Sanitarios;;;;SIN_OBRA_NO_ADDON
262;OBRA_ESPECIFICA;55-3;"Sistema FLAP Bennett 24 X 12 "" Doble estacion";1;adicional;Pedido;Trimer;Mecanica;;;;INSERTAR_ADDON
262;OBRA_ESPECIFICA;55-4;"Sistema FLAP Bennett 24 X 12 "" Doble estacion";1;adicional;Pedido;Trimer;Mecanica;;;;INSERTAR_ADDON
263;OBRA_ESPECIFICA;55-1;"Sistema FLAP Lenco 24 x 16 "" Doble piston";1;adicional;En Chubut;Flojumar;Mecanica;;0.282;TV 24;INSERTAR_ADDON
263;OBRA_ESPECIFICA;55-2;"Sistema FLAP Lenco 24 x 16 "" Doble piston";1;adicional;Revisar;Flojumar;Mecanica;;;;INSERTAR_ADDON
264;OBRA_ESPECIFICA;55-1;Solenoide Blue Sea L-Series - 250A 12/24V;1;adicional;Comprar;;Electricidad;;;;INSERTAR_ADDON
288;OBRA_ESPECIFICA;55-1;Tender lift OPACMARE 5220_90_09;2;adicional;En Chubut;;;;1.000;Tender lift OPACMARE OPACMARE 5220_90_09;YA_EXISTE_ADDON_PROBABLE
288;OBRA_ESPECIFICA;55-2;Tender lift OPACMARE 5220_90_09;2;adicional;Revisar;;;;1.000;Tender lift OPACMARE OPACMARE 5220_90_09;YA_EXISTE_ADDON_PROBABLE
288;OBRA_ESPECIFICA;55-3;Tender lift OPACMARE 5220_90_09;2;adicional;Revisar;;;;1.000;Tender lift OPACMARE OPACMARE 5220_90_09;YA_EXISTE_ADDON_PROBABLE
294;OBRA_ESPECIFICA;55-2;Toallero Epuyén 0163/L2 Negro;2;adicional;Pedido;;;;1.000;Toallero Epuyén 0163/L2 Negro;YA_EXISTE_ADDON_PROBABLE
309;OBRA_ESPECIFICA;55-1;"TV SAMSUNG 55"" QLED Q6F 4K Smart";1;adicional;Comprar;;Electricidad;;0.917;TV 55 QLED Q6F 4K Smart;YA_EXISTE_ADDON_PROBABLE
312;OPC;;"Union rosca H 1/2"" WHALE WX1532 - opcional duchador rio";1;opcional;;;Sanitarios;;;;SIN_OBRA_NO_ADDON
314;OPC;;"Union rosca M 1/2"" WHALE WX1514 - opcional duchador rio";1;opcional;;;Sanitarios;;;;SIN_OBRA_NO_ADDON
316;OBRA_ESPECIFICA;55-1;"Valvula de desvio ""y"" Matromarine italiana";2;adicional;En Chubut;Flojumar;Sanitarios;;1.000;"VALVULA DE DESVIO ""Y"" MATROMARINE ITALIANA";YA_EXISTE_ADDON_PROBABLE
319;OPC;;"Válvula esférica 1/2""";1;opcional;;;Sanitarios;;;;SIN_OBRA_NO_ADDON
323;OBRA_ESPECIFICA;55-1;VHF con AIS;1;adicional;En Chubut;;Electricidad;;1.000;VHF con AIS;YA_EXISTE_ADDON_PROBABLE
