score;motivo;id_a;desc_a;k55_a;origen_a;cat_a;prov_a;id_b;desc_b;k55_b;origen_b;cat_b;prov_b
0.700;revisar;0ce9b426-6c58-4a6b-86e5-fc9440d5ec24;Abrazadera inox 10mm int.;0;k37_enero2026;Mecánica;Rebollar;b00cefec-d911-4619-b48e-421bfb31d246;"Abrazadera inox 1½""";38;k37_enero2026;Sanitarios / Griferías;Rebollar
0.700;revisar;b00cefec-d911-4619-b48e-421bfb31d246;"Abrazadera inox 1½""";38;k37_enero2026;Sanitarios / Griferías;Rebollar;153b39e4-c586-41ce-a180-7deeec1416d8;"Abrazadera inox 3/4""";44;k37_enero2026;Sanitarios / Griferías;Rebollar
0.700;revisar;38d5461f-ce2e-4cd5-bcf0-eb1a23c60df5;"Adaptador rosca H 1/2"" Whale WX1532";23;k37_enero2026;Sanitarios / Griferías;Trimer;55df7d97-300f-4492-a53e-18f6c7893484;"Adaptador rosca M 1/2"" Whale WX1514";19;k37_enero2026;Sanitarios / Griferías;Trimer
0.700;revisar;0ecee772-6a45-4a95-8efe-61627217f643;Bisagra codo 0 + base con clip;20;import_k55_excel;Carpintería / Exterior / Varios;;0da15e33-7a69-48aa-838b-1bf72a7630d2;Bisagra codo 18 + base con clip;0;k37_enero2026;Herrajes / Muebles;Rincón del Herraje
0.700;revisar;0ecee772-6a45-4a95-8efe-61627217f643;Bisagra codo 0 + base con clip;20;import_k55_excel;Carpintería / Exterior / Varios;;f60a174a-e250-4f29-b084-d7b19e4e2f12;Bisagra codo 9 + base con clip;34;k37_enero2026;Herrajes / Muebles;Rincón del Herraje
0.700;revisar;0da15e33-7a69-48aa-838b-1bf72a7630d2;Bisagra codo 18 + base con clip;0;k37_enero2026;Herrajes / Muebles;Rincón del Herraje;f60a174a-e250-4f29-b084-d7b19e4e2f12;Bisagra codo 9 + base con clip;34;k37_enero2026;Herrajes / Muebles;Rincón del Herraje
0.700;revisar;aaa11322-365a-47fa-ae87-57fce52c841f;"Caño corrugado flex 1""";10;k37_enero2026;Electricidad;Janored/2001;2867a718-9070-4c34-8a93-01e5d0777b41;"Caño corrugado flex 1/2""";0;k37_enero2026;Electricidad;Janored/2001
0.700;revisar;aaa11322-365a-47fa-ae87-57fce52c841f;"Caño corrugado flex 1""";10;k37_enero2026;Electricidad;Janored/2001;359fab35-7264-4d63-b712-1c23a3fc18d0;"Caño corrugado flex 3/4""";0;k37_enero2026;Electricidad;
0.700;revisar;3aa6b2f5-1126-47b8-8070-36f94a65735e;"Codo 90° HH bronce 1""";8;k37_enero2026;Sanitarios / Griferías;Gaona;12530642-f648-407f-9c7a-7b910479bab8;"Codo 90° HH bronce 3/4""";0;k37_enero2026;Sanitarios / Griferías;Gaona
0.700;revisar;3aa6b2f5-1126-47b8-8070-36f94a65735e;"Codo 90° HH bronce 1""";8;k37_enero2026;Sanitarios / Griferías;Gaona;fb015fad-fb8a-47c1-b403-a4513fd08af0;"Codo 90° HH bronce 3/4""x1/2""";0;k37_enero2026;Sanitarios / Griferías;Gaona
