excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision;loose_score;loose_candidate_id;loose_candidate_desc
129;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Destorcedor tipo ""gusano"" INOX p/cadena 10-12mm";1;Unidades;;;;Flojumar;Mecanica;;STD;;0.167;33c0fd9a-947e-4005-8fcb-3dc10673b0a3;"Caño s costura inox Sch.10, 2"" nominal"
130;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Direccion electro asistida twin disk;1;Unidades;;;;;Electricidad;;STD;;0.125;82ec6127-cda1-46be-bfaf-c15b25405644;Bomba de dirección UP28F
135;STD;REUSAR_ID_Y_SET_K55;EXACTO;a480d9c4-782b-4797-a3b1-add592ac95f0;Duchador frio calor WHALE Twist;1.000;Duchador frio calor WHALE Twist;1;Unidades;1;0;0;Flojumar;Sanitarios;Cockpit;STD;;;;
137;STD;REUSAR_ID_Y_SET_K55;EXACTO;1cd225a8-7247-4fa4-8ac2-4de9153355ff;"Ducto p/extractor de 3""";1.000;"Ducto p/extractor de 3""";3;Unidades;2;0;0;Trimer;Electricidad;;STD;;;;
138;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Ecosonda;1;Unidades;;;;;;AIRMAR P319 (010-10194-21);STD;;0.000;;
140;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"EMPALME ESPIGA PARA MANGUERA 1"" PLASTICO";3;Unidades;;;;Casa Iriarte;Sanitarios;;STD;;0.286;c35cb2f0-17bc-46de-91a6-08af9d306709;"Manguera cristal alambre 1"""
141;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Enchufe hembra;1;Unidades;;;;;Electricidad;;STD;;0.167;e3596983-974f-445d-abff-6d351c34e271;Ficha Marinco hembra 32A 220V
142;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Enchufe macho;1;Unidades;;;;;Electricidad;;STD;;0.250;3d512356-0a0a-47bd-bdf1-aab145096b23;"Racor macho 1""x1"" plástico"
143;STD;REUSAR_ID_Y_SET_K55;EXACTO;4c73ef69-6754-42da-83f2-9d880d03dcf2;Entrada agua potable (marina);1.000;Entrada agua potable (marina);1;Unidades;1;0;0;Baron;Sanitarios;B29029;STD;;;;
144;STD;REUSAR_ID_Y_SET_K55;EXACTO;87ea1a83-1b17-4dbb-81bb-305a82e08bab;"Entrerrosca 1"" bronce";1.000;"Entrerrosca 1"" bronce";2;Unidades;3;0;0;Casa Iriarte;Sanitarios;C 112 1 FU;STD;;;;
