excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
103;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Compas magnético reglamentario (negro);2;Unidades;;;;;;https://www.baron.com.ar/articulo/ritchie-s-53-negro/c13666;STD;
108;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Conector rosca H termofusion 1""";6;Unidades;;;;;Sanitarios;TERMOFUSION;STD;
111;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Guía telescóp. cierre suave 20cm;2;Unidades;;;;;Carpinteria;;STD;
112;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Guía telescóp. cierre suave 25cm;3;Unidades;;;;;Carpinteria;;STD;
113;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Guía telescóp. cierre suave 40cm;6;Unidades;;;;;Carpinteria;;STD;
114;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Guía telescóp. cierre suave 45cm;6;Unidades;;;;;Carpinteria;;STD;
115;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Corredera ocultas Bronzen LARGO 500mm;1;Unidades;;;;;Carpinteria;https://www.mercadolibre.com.ar/sistema-corredera-pocket-door-mueble-oculto-500mm-par-color-negro/p/MLA48512423#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=product&tracking_id=fab1bd4e-5ba8-450b-89e1-d5f2ab5188d3&wid=MLA2055674764&sid=search;STD;
118;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"CUPLA DE BRONCE 1/2""";1;Unidades;;;;;Sanitarios;C 103 1/2 FU;STD;
126;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Cupla termofusion 1""";8;Unidades;;;;;Sanitarios;TERMOFUSION;STD;
129;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Destorcedor tipo ""gusano"" INOX p/cadena 10-12mm";1;Unidades;;;;Flojumar;Mecanica;;STD;
